creator,creator_profile_url,video_url,video_id,description,duration,views,likes,comments,ROAS,ad_spend,duration_seconds
cleidyslaura,https://www.tiktok.com/@7129892478778065962,https://www.tiktok.com/@/video/7626431329986497823?_r=1,7626431329986497536,Hoy pasé toda la tarde con mi sobrina y fuimos a almorzar pizza después de colocarme las pestañas con el pegamento de la marca @DREAMYBOND que ella me regaló porq es su favorito. #dreamybond  #lashcluster #lashglue #comfortable #stronghold,47s,46100,1989,18,3.85,9.12,47
chaynne.minter,https://www.tiktok.com/@7422621339779990571,https://www.tiktok.com/@/video/7625797747072879902?_r=1,7625797747072879616,This stuff is popular for good reason. #theordinary #peelingsolution #facialpeel #skincare ,17s,1250,15,1,5.28,1.08,17
ttsjenna,https://www.tiktok.com/@7493822761987490858,https://www.tiktok.com/@/video/7619211447767174430?_r=1,7619211447767174144,,8s,5965,32,2,3.85,35.36,8
livinglifewtina,https://www.tiktok.com/@7188991328583599146,https://www.tiktok.com/@/video/7625735267017690381?_r=1,7625735267017690112,,48s,4944,14,3,5.0,61.38,48
holly63928,https://www.tiktok.com/@7556127070666966071,https://www.tiktok.com/@/video/7604896927687167263?_r=1,7604896927687166976,#youneedthis #fyp #tiktokmademebuyit #tiktokshop #valentinesday ,8s,11300,15,2,4.17,40.68,8
ricardoorea02,https://www.tiktok.com/@6964945802243802117,https://www.tiktok.com/@/video/7626129139975687437?_r=1,7626129139975687168,GuruNanda Anti-Cavity Oral Rinse #gurunanda #gurunandaproducts #oralrinse #enjuaguebucal #gurunandamouthwash ,48s,4162,9,0,0.0,0.0,48
theycallmesay_o,https://www.tiktok.com/@6801653565670802438,https://www.tiktok.com/@/video/7626216514068237582?_r=1,7626216514068237312,"This routine really brought her hair back to life… stronger, shinier, and finally growing the way we wanted 💁🏽‍♀️✨ #hairgrowth #ricewater #healthyhair #hairtiktok #beautyroutine",97s,10500,89,6,4.93,187.92,97
johnnaannglam,https://www.tiktok.com/@6869409121483162630,https://www.tiktok.com/@/video/7626429205663763742?_r=1,7626429205663763456,"This blurring mattifying primer instantly mattifies oily skin, blurs large pores and helps keep your makeup in place all day 👏 #oilyskin #largepores #oilyskinmakeup #acneproneskin #makeuphacks ",49s,928,4,0,0.0,0.0,49
zunicarrero6,https://www.tiktok.com/@7476685608942863403,https://www.tiktok.com/@/video/7622803045172153614?_r=1,7622803045172153344,#fypシ #parati #viral #foryoupage #tiktokshop ,35s,38300,971,18,4.0,59.99,35
findzforyou3,https://www.tiktok.com/@6906293473456964613,https://www.tiktok.com/@/video/7625035545302912286?_r=1,7625035545302912000,Takes less than 10 seconds to apply #fyp #beautyofjoseonsunscreen #tintedsunscreen #mog #looksmax ,9s,72400,463,19,5.0,97.9,9
lopezysa,https://www.tiktok.com/@314570398056972288,https://www.tiktok.com/@/video/7626471074712030495?_r=1,7626471074712030208,"Replying to @Perla Chantaca Rojo y Rojo Violeta, la combinación perfecta para un pelo rojo fabuloso🤩✨ #kuulreflects #pelorojo #pelirroja #redhair #redhairdye ",46s,1087,43,1,5.88,14.2,46
dangiedan,https://www.tiktok.com/@7440526412539479086,https://www.tiktok.com/@/video/7626375607324052766?_r=1,7626375607324052480,Lmk if I should make pt.2 !!  #sampletok #freesample #tiktokshop #freesamplestiktokshop #fyp ,21s,1092,32,15,5.56,3.78,21
sunsualtanning,https://www.tiktok.com/@7018607265986249733,https://www.tiktok.com/@/video/7625823585982074125?_r=1,7625823585982073856,"Hard Feelings?… the only thing we’re holding onto is a better tan. 😎 Meet Hard Feelings by Devoted Creations — the perfect mix of glow, hydration, and attitude. This luxe bronzing lotion helps deepen your color while leaving your skin feeling silky smooth and radiant. ✨ Ultra-dark bronzing results ✨ Skin-loving hydration ✨ Flawless, streak-free glow Stop by SUNsual Tanning and try Hard Feelings for your next session… because the only drama we like is dramatic color. 🔥 #SUNsualTanning #DevotedCreations #HardFeelings #TanGoals #BronzedBeauty  ",8s,2293,32,1,0.0,0.0,8
whatilovetodo,https://www.tiktok.com/@6801234826047390725,https://www.tiktok.com/@/video/7626376529257205005?_r=1,7626376529257204736,"We are officially obsessed 🤍 These Sol de Air perfumes are a favorite for both me *and* my kids… which says a lot 🙌 They’re light, fresh, and not overpowering at all—just the perfect everyday scent you can wear without it feeling too much. Easy, beautiful, and mom-approved ✔️ #EverydayFragrance #MomFavorites #CleanScents #SimpleJoy  #Greenish @Sol de Janeiro ",28s,6817,80,2,5.56,14.04,28
